tissue,supertype_name,supertype_label,program_id,n_wildr_samples,mean_h,sd_h,same_sign
AMY,0359 MEA-BST Lhx6 Nfib Gaba_3,CS20230722_SUPT_0359,P17,6,0.2661138012530892,0.2030569910375228,TRUE
AMY,0370 CEA-BST Six3 Cyp26b1 Gaba_4,CS20230722_SUPT_0370,P17,6,0.265217243400863,0.1558832116594978,TRUE
AMY,0384 CEA-BST Ebf1 Pdyn Gaba_1,CS20230722_SUPT_0384,P7,6,0.2646972676333086,0.13550618302947445,TRUE
HYP,0576 LHA-AHN-PVH Otp Trh Glut_3,CS20230722_SUPT_0576,P15,6,-0.26402899790814893,0.09996791698456911,TRUE
HYP,0587 PVH-SO-PVa Otp Glut_3,CS20230722_SUPT_0587,P2,6,0.26256270086740774,0.14277077087064563,TRUE
AMY,0512 COAa-PAA-MEA Barhl2 Glut_4,CS20230722_SUPT_0512,P16,6,0.2625032824617103,0.22618730923824043,TRUE
HYP,0452 AHN-SBPV-PVHd Pdrm12 Gaba_7,CS20230722_SUPT_0452,P13,6,0.26079831745000165,0.24276916146063426,TRUE
HYP,0530 SI-MA-LPO-LHA Skor1 Glut_1,CS20230722_SUPT_0530,P13,6,-0.2598370968700135,0.15152280289797998,TRUE
HYP,0422 BST-MPN Six3 Nrgn Gaba_3,CS20230722_SUPT_0422,P8,6,0.2559155896308259,0.10269283067529102,TRUE
AMY,0136 DG Glut_1,CS20230722_SUPT_0136,P12,6,-0.25452607706561464,0.17830209706360725,TRUE
HYP,1179 OPC NN_1,CS20230722_SUPT_1179,P7,6,0.252956449237449,0.17153922266123398,TRUE
AMY,0105 L6b EPd Glut_3,CS20230722_SUPT_0105,P14,6,-0.2527848884293974,0.1458412683806565,TRUE
HYP,0495 ARH-PVp Tbx3 Gaba_3,CS20230722_SUPT_0495,P6,6,0.2523157606742112,0.19274845873801968,TRUE
HYP,0570 VMH Nr5a1 Glut_5,CS20230722_SUPT_0570,P17,6,0.2504719143913328,0.14171152252278374,TRUE
HYP,0438 SCH Six6 Cdc14a Gaba_3,CS20230722_SUPT_0438,P6,6,-0.24968177444922504,0.2252595641867447,TRUE
HYP,0443 PVHd-SBPV Six3 Prox1 Gaba_2,CS20230722_SUPT_0443,P4,6,0.24900531633876738,0.10109709348087617,TRUE
AMY,0342 MEA-BST Sox6 Gaba_6,CS20230722_SUPT_0342,P5,6,0.2448193350366663,0.1317929042195543,TRUE
