tissue,supertype_name,supertype_label,program_id,n_wildr_samples,mean_h,sd_h,same_sign,top_term,top_category,top_pvalue,n_terms_p05
HYP,0544 DMH Nkx2-4 Glut_1,CS20230722_SUPT_0544,P8,6,-0.29202973118102177,0.19066936554060565,TRUE,nucleoplasm,GOTERM_CC_DIRECT,0.3563790951705268,0
HYP,0423 BST-MPN Six3 Nrgn Gaba_4,CS20230722_SUPT_0423,P6,6,0.29134474524083664,0.14606287050090175,TRUE,cellular_component,GOTERM_CC_DIRECT,0.06691941411464489,0
AMY,0511 COAa-PAA-MEA Barhl2 Glut_3,CS20230722_SUPT_0511,P19,6,-0.28884961001443665,0.09551591959419851,TRUE,Mitochondrion,UP_KW_CELLULAR_COMPONENT,0.01377874442019801,1
HYP,0575 LHA-AHN-PVH Otp Trh Glut_2,CS20230722_SUPT_0575,P3,6,0.2877772145529416,0.1127917333347585,TRUE,Secreted,UP_KW_CELLULAR_COMPONENT,0.0435862466614314,1
HYP,0530 SI-MA-LPO-LHA Skor1 Glut_1,CS20230722_SUPT_0530,P12,6,-0.28656402520004903,0.18988378249030657,TRUE,CARBOHYD:N-linked (GlcNAc...) asparagine,UP_SEQ_FEATURE,1.477597117314514e-6,15
HYP,0444 PVHd-SBPV Six3 Prox1 Gaba_3,CS20230722_SUPT_0444,P14,6,-0.2862546505981311,0.18989662017038075,TRUE,nucleus,GOTERM_CC_DIRECT,0.01207425739215378,3
HYP,0437 SCH Six6 Cdc14a Gaba_2,CS20230722_SUPT_0437,P0,6,0.28620288802517546,0.15102237310991645,TRUE,COMPBIAS:Polar residues,UP_SEQ_FEATURE,0.0043732274933803,2
HYP,0565 VMH Fezf1 Glut_3,CS20230722_SUPT_0565,P12,6,-0.2851961665163312,0.10011816489853917,TRUE,cellular_component,GOTERM_CC_DIRECT,0.24664348379781517,0
HYP,0422 BST-MPN Six3 Nrgn Gaba_3,CS20230722_SUPT_0422,P15,6,0.282259758292135,0.1827696738765111,TRUE,manchette,GOTERM_CC_DIRECT,0.00145705059104786,7
HYP,0447 AHN-SBPV-PVHd Pdrm12 Gaba_2,CS20230722_SUPT_0447,P1,6,0.2812838108229715,0.18685927196367413,TRUE,Cell membrane,UP_KW_CELLULAR_COMPONENT,0.01485011433144171,5
HYP,0546 MPN-MPO-PVpo Hmx2 Glut_1,CS20230722_SUPT_0546,P19,6,0.27998863715951655,0.17462996625312296,TRUE,Glycoprotein,UP_KW_PTM,0.01739904879718958,2
HYP,0449 AHN-SBPV-PVHd Pdrm12 Gaba_4,CS20230722_SUPT_0449,P19,6,0.2794830716587773,0.1277160800492627,TRUE,CROSSLNK:Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in SUMO2),UP_SEQ_FEATURE,0.24170060537222263,0
HYP,0452 AHN-SBPV-PVHd Pdrm12 Gaba_7,CS20230722_SUPT_0452,P2,6,0.2766125997405155,0.12727000416542994,TRUE,Ion transport,UP_KW_BIOLOGICAL_PROCESS,0.0616883325395135,0
HYP,0448 AHN-SBPV-PVHd Pdrm12 Gaba_3,CS20230722_SUPT_0448,P9,6,0.2760598540368842,0.2145019394176325,TRUE,Transmembrane helix,UP_KW_DOMAIN,0.00385596688261114,9
HYP,0470 DMH-LHA Gsx1 Gaba_1,CS20230722_SUPT_0470,P13,6,-0.27470692334615665,0.17562376303087004,TRUE,TRANSMEM:Helical,UP_SEQ_FEATURE,0.22154288204883996,0
HYP,0447 AHN-SBPV-PVHd Pdrm12 Gaba_2,CS20230722_SUPT_0447,P14,6,0.2741284523128077,0.16308490887860322,TRUE,Developmental protein,UP_KW_MOLECULAR_FUNCTION,0.00712799702241924,8
HYP,0451 AHN-SBPV-PVHd Pdrm12 Gaba_6,CS20230722_SUPT_0451,P14,6,0.27234432985318197,0.3054137456736499,TRUE,molecular_function,GOTERM_MF_DIRECT,0.10099990226823138,0
AMY,0386 CEA-BST Ebf1 Pdyn Gaba_3,CS20230722_SUPT_0386,P1,6,0.2714786998880512,0.18556735260234464,TRUE,cilium assembly,GOTERM_BP_DIRECT,0.03592272198319412,1
HYP,0423 BST-MPN Six3 Nrgn Gaba_4,CS20230722_SUPT_0423,P5,6,0.2690010337500433,0.16997417400207548,TRUE,Apoptosis,UP_KW_BIOLOGICAL_PROCESS,0.00550286867958967,5
AMY,0355 MEA-BST Lhx6 Nr2e1 Gaba_2,CS20230722_SUPT_0355,P19,6,-0.2674145548943599,0.13057585530094648,TRUE,GABA-ergic synapse,GOTERM_CC_DIRECT,3.9261348350372e-4,29
AMY,0359 MEA-BST Lhx6 Nfib Gaba_3,CS20230722_SUPT_0359,P17,6,0.2661138012530892,0.2030569910375228,TRUE,Transmembrane helix,UP_KW_DOMAIN,0.00135325658736483,16
AMY,0370 CEA-BST Six3 Cyp26b1 Gaba_4,CS20230722_SUPT_0370,P17,6,0.265217243400863,0.1558832116594978,TRUE,zinc ion binding,GOTERM_MF_DIRECT,0.0094348224345548,1
AMY,0384 CEA-BST Ebf1 Pdyn Gaba_1,CS20230722_SUPT_0384,P7,6,0.2646972676333086,0.13550618302947445,TRUE,plasma membrane,GOTERM_CC_DIRECT,6.7264937861348e-4,17
HYP,0576 LHA-AHN-PVH Otp Trh Glut_3,CS20230722_SUPT_0576,P15,6,-0.26402899790814893,0.09996791698456911,TRUE,CROSSLNK:Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in SUMO2),UP_SEQ_FEATURE,0.04991604729535462,1
HYP,0587 PVH-SO-PVa Otp Glut_3,CS20230722_SUPT_0587,P2,6,0.26256270086740774,0.14277077087064563,TRUE,Differentiation,UP_KW_BIOLOGICAL_PROCESS,0.00664198033886573,3
AMY,0512 COAa-PAA-MEA Barhl2 Glut_4,CS20230722_SUPT_0512,P16,6,0.2625032824617103,0.22618730923824043,TRUE,Ubl conjugation,UP_KW_PTM,0.03388959233946026,1
HYP,0452 AHN-SBPV-PVHd Pdrm12 Gaba_7,CS20230722_SUPT_0452,P13,6,0.26079831745000165,0.24276916146063426,TRUE,mmu04080:Neuroactive ligand-receptor interaction,KEGG_PATHWAY,4.0462601008793e-4,19
HYP,0530 SI-MA-LPO-LHA Skor1 Glut_1,CS20230722_SUPT_0530,P13,6,-0.2598370968700135,0.15152280289797998,TRUE,ACT_SITE:Proton acceptor,UP_SEQ_FEATURE,0.00999069991522034,6
HYP,0422 BST-MPN Six3 Nrgn Gaba_3,CS20230722_SUPT_0422,P8,6,0.2559155896308259,0.10269283067529102,TRUE,mmu04360:Axon guidance,KEGG_PATHWAY,0.01817117220713488,8
AMY,0136 DG Glut_1,CS20230722_SUPT_0136,P12,6,-0.25452607706561464,0.17830209706360725,TRUE,plasma membrane,GOTERM_CC_DIRECT,0.00651562555711172,1
HYP,1179 OPC NN_1,CS20230722_SUPT_1179,P7,6,0.252956449237449,0.17153922266123398,TRUE,membrane,GOTERM_CC_DIRECT,0.00591734685310428,1
AMY,0105 L6b EPd Glut_3,CS20230722_SUPT_0105,P14,6,-0.2527848884293974,0.1458412683806565,TRUE,SM00233:PH,SMART,0.00178880249015799,8
HYP,0495 ARH-PVp Tbx3 Gaba_3,CS20230722_SUPT_0495,P6,6,0.2523157606742112,0.19274845873801968,TRUE,zinc ion binding,GOTERM_MF_DIRECT,0.32127966137197905,0
HYP,0570 VMH Nr5a1 Glut_5,CS20230722_SUPT_0570,P17,6,0.2504719143913328,0.14171152252278374,TRUE,IPR036051:KRAB_dom_sf,INTERPRO,0.00612333665152549,9
HYP,0438 SCH Six6 Cdc14a Gaba_3,CS20230722_SUPT_0438,P6,6,-0.24968177444922504,0.2252595641867447,TRUE,cytokine-mediated signaling pathway,GOTERM_BP_DIRECT,0.00545627348482858,12
HYP,0443 PVHd-SBPV Six3 Prox1 Gaba_2,CS20230722_SUPT_0443,P4,6,0.24900531633876738,0.10109709348087617,TRUE,RNA polymerase II core promoter sequence-specific DNA binding,GOTERM_MF_DIRECT,3.225916401431e-4,22
AMY,0342 MEA-BST Sox6 Gaba_6,CS20230722_SUPT_0342,P5,6,0.2448193350366663,0.1317929042195543,TRUE,plasma membrane,GOTERM_CC_DIRECT,0.0010339854649354,8
HYP,0438 SCH Six6 Cdc14a Gaba_3,CS20230722_SUPT_0438,P19,6,-0.24349844672868629,0.13655332215373217,TRUE,zinc ion binding,GOTERM_MF_DIRECT,0.01242770884636372,2
AMY,0175 Vip Gaba_3,CS20230722_SUPT_0175,P11,6,-0.24256556246615985,0.10296223904867735,TRUE,positive regulation of cell population proliferation,GOTERM_BP_DIRECT,0.01628075142807364,2
HYP,1181 COP NN_1,CS20230722_SUPT_1181,P17,6,-0.2411762764839769,0.11933064848373319,TRUE,Mitosis,UP_KW_BIOLOGICAL_PROCESS,0.05478656597641759,0
HYP,0555 ARH-PVp Tbx3 Glut_2,CS20230722_SUPT_0555,P6,6,0.23973616648592935,0.1377334872769411,TRUE,IPR001304:C-type_lectin-like,INTERPRO,0.0161380372544373,12
