tissue,supertype_label,supertype_name,rank,n_wildr,mean_abs_h,max_abs_h
HYP,CS20230722_SUPT_0448,0448 AHN-SBPV-PVHd Pdrm12 Gaba_3,129,6,0.15608376286806325,0.5798319906818452
AMY,CS20230722_SUPT_0358,0358 MEA-BST Lhx6 Nfib Gaba_2,52,6,0.15496485279553063,0.605955591681471
AMY,CS20230722_SUPT_0514,0514 COAa-PAA-MEA Barhl2 Glut_6,111,6,0.1536597396623157,0.7556006644844577
HYP,CS20230722_SUPT_0479,0479 TU-ARH Otp Six6 Gaba_2,34,6,0.1535929135785184,0.4910355321738374
AMY,CS20230722_SUPT_0040,0040 L2/3 IT PIR-ENTl Glut_2,4,6,0.1507164963211155,0.989923235046657
AMY,CS20230722_SUPT_0289,0289 STR-PAL Chst9 Gaba_5,130,6,0.15070726014908184,0.5639090708815181
HYP,CS20230722_SUPT_0456,0456 AHN Onecut3 Gaba_1,126,6,0.14910704124773216,0.7172166899191125
AMY,CS20230722_SUPT_0288,0288 STR-PAL Chst9 Gaba_4,30,6,0.14612255632535395,0.6188101583173216
AMY,CS20230722_SUPT_0508,0508 MEA-COA-BMA Ccdc42 Glut_4,114,6,0.14454328876027234,0.49261514641844
HYP,CS20230722_SUPT_0478,0478 TU-ARH Otp Six6 Gaba_1,72,6,0.14255766278341211,0.5080234180102101
AMY,CS20230722_SUPT_0057,0057 MEA Slc17a7 Glut_3,28,6,0.14220057174842168,0.8300365838658882
HYP,CS20230722_SUPT_1179,1179 OPC NN_1,88,6,0.14180962702062308,1.041022681054235
AMY,CS20230722_SUPT_0063,0063 LA-BLA-BMA-PA Glut_4,17,6,0.1412861981246428,0.4939076356078642
AMY,CS20230722_SUPT_0384,0384 CEA-BST Ebf1 Pdyn Gaba_1,86,6,0.13947796774991278,0.5333437420187929
AMY,CS20230722_SUPT_0505,0505 MEA-COA-BMA Ccdc42 Glut_1,110,6,0.1375450280017929,0.5826274677654598
AMY,CS20230722_SUPT_0042,0042 L2/3 IT PIR-ENTl Glut_4,5,6,0.13567318596890987,0.555564119630576
HYP,CS20230722_SUPT_1194,1194 Microglia NN_1,96,6,0.13143880219221502,1.0926076506302111
HYP,CS20230722_SUPT_1184,1184 MOL NN_4,15,6,0.13003672023019483,0.5619672328579801
AMY,CS20230722_SUPT_0199,0199 Lamp5 Gaba_1,32,6,0.12808074700365768,0.4258195068492639
HYP,CS20230722_SUPT_0974,0974 PGRN-PARN-MDRN Hoxb5 Glut_2,14,6,0.12029984437837289,0.6865065299845259
HYP,CS20230722_SUPT_0580,0580 AHN-RCH-LHA Otp Fezf1 Glut_2,47,6,0.1167899965678144,0.5737982726185895
AMY,CS20230722_SUPT_0055,0055 MEA Slc17a7 Glut_1,18,6,0.11559905950932786,0.47871530218137864
AMY,CS20230722_SUPT_0509,0509 COAa-PAA-MEA Barhl2 Glut_1,33,6,0.11164074291758766,0.30927420519660487
AMY,CS20230722_SUPT_0056,0056 MEA Slc17a7 Glut_2,24,6,0.11144320972908743,0.3548609052535492
AMY,CS20230722_SUPT_0062,0062 LA-BLA-BMA-PA Glut_3,7,6,0.10882925217897815,0.35552327760901714
AMY,CS20230722_SUPT_0507,0507 MEA-COA-BMA Ccdc42 Glut_3,43,6,0.10365465450040838,0.4907028746753123
